Species,Ocean,Conservation Status,Protected Areas,Migration Pattern
Caribbean Manta Ray,Indian,Vulnerable,False,Seasonal
Caribbean Manta Ray,Atlantic,Near Threatened,True,Resident
Reef Manta Ray,Pacific,Near Threatened,False,Seasonal
Reef Manta Ray,Caribbean,Near Threatened,True,Resident
Caribbean Manta Ray,Indian,Near Threatened,True,Migratory
Caribbean Manta Ray,Pacific,Least Concern,True,Seasonal
Mobula Ray,Atlantic,Near Threatened,False,Resident
Caribbean Manta Ray,Pacific,Vulnerable,False,Resident
Caribbean Manta Ray,Atlantic,Least Concern,True,Resident
Giant Manta Ray,Atlantic,Least Concern,False,Resident
Caribbean Manta Ray,Atlantic,Least Concern,True,Migratory
Reef Manta Ray,Caribbean,Least Concern,False,Seasonal
Mobula Ray,Indian,Near Threatened,False,Seasonal
Mobula Ray,Atlantic,Least Concern,False,Seasonal
Giant Manta Ray,Caribbean,Least Concern,False,Seasonal
Giant Manta Ray,Caribbean,Least Concern,True,Resident
Caribbean Manta Ray,Caribbean,Vulnerable,False,Seasonal
Reef Manta Ray,Caribbean,Least Concern,True,Seasonal
Reef Manta Ray,Atlantic,Near Threatened,True,Resident
Reef Manta Ray,Atlantic,Least Concern,False,Resident
Giant Manta Ray,Indian,Vulnerable,False,Migratory
Reef Manta Ray,Pacific,Vulnerable,True,Migratory
Giant Manta Ray,Caribbean,Near Threatened,True,Resident
Caribbean Manta Ray,Atlantic,Near Threatened,True,Resident
Mobula Ray,Atlantic,Least Concern,True,Migratory
Giant Manta Ray,Indian,Vulnerable,False,Resident
Giant Manta Ray,Caribbean,Vulnerable,False,Seasonal
Giant Manta Ray,Atlantic,Near Threatened,True,Seasonal
Reef Manta Ray,Atlantic,Vulnerable,True,Seasonal
Giant Manta Ray,Atlantic,Least Concern,True,Resident
Mobula Ray,Indian,Near Threatened,False,Resident
Caribbean Manta Ray,Pacific,Least Concern,True,Seasonal
Mobula Ray,Indian,Vulnerable,True,Migratory
Mobula Ray,Atlantic,Least Concern,True,Seasonal
Mobula Ray,Caribbean,Vulnerable,True,Migratory
Giant Manta Ray,Indian,Vulnerable,False,Migratory
Mobula Ray,Pacific,Least Concern,True,Migratory
Caribbean Manta Ray,Caribbean,Vulnerable,True,Resident
Giant Manta Ray,Indian,Least Concern,True,Resident
Giant Manta Ray,Pacific,Near Threatened,False,Migratory
Giant Manta Ray,Caribbean,Vulnerable,True,Seasonal
Mobula Ray,Caribbean,Least Concern,True,Resident
Reef Manta Ray,Caribbean,Near Threatened,True,Seasonal
Reef Manta Ray,Atlantic,Vulnerable,False,Resident
Caribbean Manta Ray,Caribbean,Least Concern,False,Seasonal
Giant Manta Ray,Caribbean,Least Concern,False,Seasonal
Reef Manta Ray,Pacific,Vulnerable,False,Migratory
Giant Manta Ray,Caribbean,Near Threatened,False,Seasonal
Giant Manta Ray,Indian,Near Threatened,False,Resident
Caribbean Manta Ray,Pacific,Near Threatened,True,Seasonal
