Species,Diet,Feeding Method,Group Size,Social Behavior
Caribbean Manta Ray,Small fish,Filter feeding,14,Small groups
Caribbean Manta Ray,"Plankton, small fish",Filter feeding,41,Large schools
Reef Manta Ray,"Krill, plankton",Predatory,24,Solitary
Reef Manta Ray,"Krill, plankton",Predatory,27,Small groups
Caribbean Manta Ray,Small fish,Predatory,14,Small groups
Caribbean Manta Ray,"Krill, plankton",Mouth filter,5,Large schools
Mobula Ray,"Krill, plankton",Filter feeding,29,Solitary
Caribbean Manta Ray,"Krill, plankton",Mouth filter,7,Small groups
Caribbean Manta Ray,"Krill, plankton",Filter feeding,26,Solitary
Giant Manta Ray,"Plankton, small fish",Predatory,46,Large schools
Caribbean Manta Ray,"Plankton, small fish",Filter feeding,8,Small groups
Reef Manta Ray,"Plankton, small fish",Mouth filter,17,Solitary
Mobula Ray,"Krill, plankton",Predatory,48,Solitary
Mobula Ray,"Plankton, small fish",Mouth filter,12,Solitary
Giant Manta Ray,"Plankton, small fish",Mouth filter,6,Large schools
Giant Manta Ray,Small fish,Filter feeding,23,Solitary
Caribbean Manta Ray,Small fish,Filter feeding,14,Large schools
Reef Manta Ray,Small fish,Mouth filter,40,Small groups
Reef Manta Ray,Small fish,Filter feeding,30,Solitary
Reef Manta Ray,Small fish,Filter feeding,21,Small groups
Giant Manta Ray,"Krill, plankton",Filter feeding,30,Large schools
Reef Manta Ray,"Krill, plankton",Predatory,21,Small groups
Giant Manta Ray,Small fish,Predatory,36,Solitary
Caribbean Manta Ray,"Plankton, small fish",Mouth filter,27,Large schools
Mobula Ray,Small fish,Mouth filter,31,Large schools
Giant Manta Ray,"Plankton, small fish",Filter feeding,15,Solitary
Giant Manta Ray,"Plankton, small fish",Predatory,24,Solitary
Giant Manta Ray,"Krill, plankton",Mouth filter,18,Large schools
Reef Manta Ray,"Plankton, small fish",Mouth filter,28,Solitary
Giant Manta Ray,"Krill, plankton",Predatory,44,Large schools
Mobula Ray,"Plankton, small fish",Mouth filter,44,Small groups
Caribbean Manta Ray,"Plankton, small fish",Predatory,5,Solitary
Mobula Ray,"Plankton, small fish",Mouth filter,26,Solitary
Mobula Ray,"Krill, plankton",Predatory,7,Large schools
Mobula Ray,"Krill, plankton",Filter feeding,36,Small groups
Giant Manta Ray,Small fish,Predatory,26,Solitary
Mobula Ray,Small fish,Mouth filter,46,Large schools
Caribbean Manta Ray,Small fish,Filter feeding,27,Small groups
Giant Manta Ray,Small fish,Predatory,45,Solitary
Giant Manta Ray,"Plankton, small fish",Mouth filter,24,Solitary
Giant Manta Ray,"Krill, plankton",Filter feeding,37,Solitary
Mobula Ray,"Plankton, small fish",Filter feeding,23,Solitary
Reef Manta Ray,"Plankton, small fish",Predatory,24,Large schools
Reef Manta Ray,Small fish,Predatory,8,Solitary
Caribbean Manta Ray,"Plankton, small fish",Filter feeding,29,Solitary
Giant Manta Ray,"Plankton, small fish",Mouth filter,10,Large schools
Reef Manta Ray,"Krill, plankton",Predatory,7,Large schools
Giant Manta Ray,"Plankton, small fish",Mouth filter,41,Large schools
Giant Manta Ray,Small fish,Predatory,30,Solitary
Caribbean Manta Ray,Small fish,Filter feeding,19,Large schools
